name,year,pop
Ichinomiya,2005,371687.0
Ichinomiya,2010,378566.0
Ichinomiya,2015,380868.0
Imabari,1995,185435.0
Imabari,2000,180627.0
Imabari,2005,173983.0
Imabari,2010,166532.0
Imabari,2015,158114.0
Isesaki,1995,184420.0
Isesaki,2000,194393.0
Isesaki,2005,202447.0
Isesaki,2010,207221.0
Isesaki,2015,208814.0
Itami,1995,188431.0
Itami,2000,192159.0
Itami,2005,192250.0
Itami,2010,196127.0
Itami,2015,196883.0
Iwaki,1995,360598.0
Iwaki,2000,360138.0
Iwaki,2005,354492.0
Iwaki,2010,342249.0
Iwaki,2015,350237.0
Iwata,1995,162667.0
Iwata,2000,166002.0
Iwata,2005,170899.0
Iwata,2010,168625.0
Iwata,2015,167210.0
Izumi,1995,157300.0
Izumi,2000,172974.0
Izumi,2005,177856.0
Izumi,2010,184988.0
Izumi,2015,186109.0
Izumo,1995,172001.0
Izumo,2000,173776.0
Izumo,2005,173751.0
Izumo,2010,171485.0
Izumo,2015,171938.0
J?etsu,1995,212060.0
J?etsu,2000,211870.0
J?etsu,2005,208082.0
J?etsu,2010,203899.0
J?etsu,2015,196987.0
Kagoshima,1995,594430.0
Kagoshima,2000,601693.0
Kagoshima,2005,604367.0
Kagoshima,2010,605846.0
Kagoshima,2015,599814.0
Kakogawa,1995,260567.0
Kakogawa,2000,266170.0
Kakogawa,2005,267100.0
Kakogawa,2010,266937.0
Kakogawa,2015,267435.0
Kamakura,1995,170329.0
Kamakura,2000,167583.0
Kamakura,2005,171158.0
Kamakura,2010,174314.0
Kamakura,2015,173019.0
Kanazawa,1995,453975.0
Kanazawa,2000,456438.0
Kanazawa,2005,454607.0
Kanazawa,2010,462361.0
Kanazawa,2015,465699.0
Kashiwa,1995,362880.0
Kashiwa,2000,373778.0
Kashiwa,2005,380963.0
Kashiwa,2010,404012.0
Kashiwa,2015,413954.0
Kasugai,1995,277589.0
Kasugai,2000,287623.0
Kasugai,2005,295802.0
Kasugai,2010,305569.0
Kasugai,2015,306508.0
Kasukabe,1995,238598.0
Kasukabe,2000,240924.0
Kasukabe,2005,238506.0
Kasukabe,2010,237171.0
Kasukabe,2015,232709.0
Kawagoe,1995,323353.0
Kawagoe,2000,330766.0
Kawagoe,2005,333795.0
Kawagoe,2010,342670.0
Kawagoe,2015,350745.0
Kawaguchi,1995,504618.0
Kawaguchi,2000,514545.0
Kawaguchi,2005,538434.0
Kawaguchi,2010,561506.0
Kawaguchi,2015,578112.0
Kawanishi,1995,144539.0
Kawanishi,2000,153762.0
Kawanishi,2005,157668.0
Kawanishi,2010,156423.0
Kawanishi,2015,156375.0
Kawasaki,1995,1202820.0
Kawasaki,2000,1249905.0
Kawasaki,2005,1327011.0
Kawasaki,2010,1425512.0
Kawasaki,2015,1475213.0
Kishiwada,1995,194818.0
Kishiwada,2000,200104.0
Kishiwada,2005,201047.0
Kishiwada,2010,199234.0
Kishiwada,2015,194911.0
Kitaky?sh? [Kitakyushu],1995,1019598.0
Kitaky?sh? [Kitakyushu],2000,1011471.0
Kitaky?sh? [Kitakyushu],2005,993525.0
Kitaky?sh? [Kitakyushu],2010,976846.0
Kitaky?sh? [Kitakyushu],2015,961286.0
